Label,Page,Addr,NumBytes,RegOffset,RegScale,ReadLen,ReadFlag,WriteFlag,TwosCompl,Default,ReadProtected,WriteProtected,CalReg
BNKB_C11,2,24,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKB_C12,2,26,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKB_C13,2,28,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKB_C14,2,30,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKB_C15,2,32,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKB_C16,2,34,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKB_C17,2,36,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKB_C18,2,38,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKB_C19,2,40,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKB_C20,2,42,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKB_C21,2,44,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKB_C22,2,46,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKB_C23,2,48,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKB_C24,2,50,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKB_C25,2,52,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKB_C26,2,54,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKB_C27,2,56,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKB_C28,2,58,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKB_C29,2,60,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKB_C30,2,62,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKB_C31,2,64,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
PAGE,3,0,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKC_C0,3,2,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKC_C1,3,4,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKC_C2,3,6,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKC_C3,3,8,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKC_C4,3,10,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKC_C5,3,12,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKC_C6,3,14,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKC_C7,3,16,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKC_C8,3,18,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKC_C9,3,20,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKC_C10,3,22,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKC_C11,3,24,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKC_C12,3,26,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKC_C13,3,28,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKC_C14,3,30,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKC_C15,3,32,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKC_C16,3,34,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
