Label,Page,Addr,NumBytes,RegOffset,RegScale,ReadLen,ReadFlag,WriteFlag,TwosCompl,PwPrtect,Default,CalReg,FLOAT
BNKA_C114,6,116,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C115,6,118,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C116,6,120,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C117,6,122,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C118,6,124,2,0,1,16,1,1,1,0,,0,TRUE
BNKA_C119,6,126,2,0,1,16,1,1,1,0,,0,TRUE
PAGE,7,0,2,0,1,16,1,1,0,0,,0,FALSE
BNKB_C0,7,8,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C1,7,10,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C2,7,12,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C3,7,14,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C4,7,16,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C5,7,18,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C6,7,20,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C7,7,22,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C8,7,24,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C9,7,26,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C10,7,28,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C11,7,30,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C12,7,32,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C13,7,34,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C14,7,36,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C15,7,38,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C16,7,40,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C17,7,42,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C18,7,44,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C19,7,46,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C20,7,48,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C21,7,50,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C22,7,52,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C23,7,54,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C24,7,56,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C25,7,58,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C26,7,60,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C27,7,62,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C28,7,64,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C29,7,66,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C30,7,68,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C31,7,70,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C32,7,72,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C33,7,74,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C34,7,76,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C35,7,78,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C36,7,80,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C37,7,82,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C38,7,84,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C39,7,86,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C40,7,88,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C41,7,90,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C42,7,92,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C43,7,94,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C44,7,96,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C45,7,98,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C46,7,100,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C47,7,102,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C48,7,104,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C49,7,106,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C50,7,108,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C51,7,110,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C52,7,112,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C53,7,114,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C54,7,116,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C55,7,118,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C56,7,120,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C57,7,122,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C58,7,124,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C59,7,126,2,0,1,16,1,1,1,0,,0,TRUE
PAGE,8,0,2,0,1,16,1,1,0,0,,0,FALSE
BNKB_C60,8,8,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C61,8,10,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C62,8,12,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C63,8,14,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C64,8,16,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C65,8,18,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C66,8,20,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C67,8,22,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C68,8,24,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C69,8,26,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C70,8,28,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C71,8,30,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C72,8,32,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C73,8,34,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C74,8,36,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C75,8,38,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C76,8,40,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C77,8,42,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C78,8,44,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C79,8,46,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C80,8,48,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C81,8,50,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C82,8,52,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C83,8,54,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C84,8,56,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C85,8,58,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C86,8,60,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C87,8,62,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C88,8,64,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C89,8,66,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C90,8,68,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C91,8,70,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C92,8,72,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C93,8,74,2,0,1,16,1,1,1,0,,0,TRUE
